RootType,OuterType,OuterName,X,Y,Z,DisplayName,LootSource,Chance,ChanceType,AISpawner,JSON
SceneComponent,BP_A02_Artificer_Hub_C,BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_d00a942ad1e03667_1707567249,1047.1516,594.47266,11129.353,Heinrich Voss,,,,,"{""vendor_data"": ""DA_Artificer02""}"
SceneComponent,BP_A02_Claude_Hub_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_a4ddd8690be110d9_1734862265,-1620.7225,-1905.0353,11033.484,Claude,,,,,"{""vendor_data"": ""DA_Claude""}"
SceneComponent,BP_A02_Crone_Chateau_C,BP_A02_Crone_Chateau_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1798271517,-2742.2974,3006.2756,11042.425,The White Hat Crone,,,,,"{""vendor_data"": ""DA_WhiteHatCrone""}"
SceneComponent,BP_A02_Grillard_Hub_C,BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_991472f297ac9969_1707567249,-3549.28,2028.4365,11031.523,Grillard,,,,,"{""vendor_data"": ""DA_Cook02""}"
SceneComponent,BP_A02_Gunsmith_Hub_C,BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_9c672f9fc956eaed_1707567249,843.53534,-519.49304,11027.668,Voyant the Rifleman,,,,,"{""vendor_data"": ""DA_Gunsmith02""}"
SceneComponent,BP_A02_Henri_Hub_C,BP_A02_Henri_Hub_C_UAID_50EBF6D29969685002_1c59a412a6a1f787_1518393615,-2865.0903,-1054.2754,11026.627,Henri,,,,,"{""vendor_data"": ""DA_Henri""}"
SceneComponent,BP_A02_Outfitter_Hub_C,BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_c638ef1768bb09f7_1707567249,-167.8731,-1338.7239,11137.957,Sirène,,,,,"{""vendor_data"": ""DA_Outfitter02""}"
SceneComponent,BP_A02_Physician_Hub_C,BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_7e2a92f11e921248_1707567249,-2424.7874,2664.3506,11044.776,Doctor Lucien Moreau,,,,,"{""vendor_data"": ""DA_Physician02""}"
SceneComponent,BP_A02_Savant_Hub_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_bf8eb92afda46b19_1734862265,418.09604,1326.6371,11130.643,Savant,,,,,"{""vendor_data"": ""DA_Savant""}"
SceneComponent,BP_A03_Artificer_Hub_C,BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_55fa9a2d61d26b96_1707567249,-1990.5089,-6195.3438,11027.105,Madame ,,,,,"{""vendor_data"": ""DA_Artificer03""}"
SceneComponent,BP_A03_Catalina_Hub_C,BP_A03_Catalina_Hub_C_UAID_D843AE641AE3BA4402_83341eb1e5ddffa6_1863482728,-3349.3438,-5001.604,11027.106,Catalina,,,,,"{""vendor_data"": ""DA_Catalina""}"
SceneComponent,BP_A03_Outfitter_Hub_C,BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_3061e1e65674b248_1707567249,-2359.91,-6757.376,11027.105,Monsieur Louche,,,,,"{""vendor_data"": ""DA_Outfitter03""}"
SceneComponent,BP_A03_Physician_Hub_C,BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_7559fef4626bf1e5_1707567249,-3274.2395,-5800.0977,11027.105,Sirène,,,,,"{""vendor_data"": ""DA_Outfitter02""}"
SceneComponent,BP_A04_Artificer_Hub_C,BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_cbce2883364e83ac_1707567249,1421.148,-3966.8223,10616.797,Madame ,,,,,"{""vendor_data"": ""DA_Artificer04""}"
SceneComponent,BP_A04_Gunsmith_Hub_C,BP_A04_Gunsmith_Hub_C_UAID_D843AE641AE3BA4402_f2e5ec72270a1070_1902549980,2527.0566,-4229.074,10616.797,René du Chêne,,,,,"{""vendor_data"": ""DA_Gunsmith04""}"
SceneComponent,BP_A04_Metallurgist_Hub_C,BP_A04_Metallurgist_Hub_C_UAID_D843AE641AE3BA4402_f2e5ec72270a1070_1902554981,2494.5425,-4772.842,10616.797,Metallurgist04,,,,,"{""vendor_data"": ""DA_Metallurgist04""}"
SceneComponent,BP_A04_Outfitter_Hub_C,BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_11bc355588237d27_1707567249,2023.4625,-5655.134,10616.797,Monsieur,,,,,"{""vendor_data"": ""DA_Outfitter04""}"
SceneComponent,BP_A04_Physician_Hub_C,BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_c50b0d3e8b1c3360_1707567249,701.4997,-4359.632,11043.195,Sirène,,,,,"{""vendor_data"": ""DA_Outfitter02""}"
SceneComponent,BP_AlnusRock_Autumn_01a_C,BP_AlnusRock_Autumn_01a_C_UAID_D843AE641AE3BA4402_acd23bd0e6a677c1_1941514332,-3284.4202,-9404.576,8081.341,,,,,,{}
SceneComponent,BP_AlnusRock_Autumn_01a_C,BP_AlnusRock_Autumn_01a_C_UAID_D843AE641AE3BA4402_acd23bd0e6a677c1_1941519333,-8554.294,-233.8637,814.8932,,,,,,{}
SceneComponent,BP_AlnusRock_Autumn_01a_C,BP_AlnusRock_Autumn_01a_C_UAID_D843AE641AE3BA4402_acd23bd0e6a677c1_1941524334,-5524.1953,13306.252,8707.402,,,,,,{}
SceneComponent,BP_AlnusRock_Autumn_01a_C,BP_AlnusRock_Autumn_01a_C_UAID_D843AE641AE3BA4402_acd23bd0e6a677c1_1941528335,-3287.5137,10873.738,6672.786,,,,,,{}
SceneComponent,BP_AlnusRock_Autumn_01a_C,BP_AlnusRock_Autumn_01a_C_UAID_D843AE641AE3BA4402_acd23bd0e6a677c1_1941533336,-7905.269,15550.835,4764.6377,,,,,,{}
SceneComponent,BP_Billboard_Sun_01a_C,BP_Billboard_Sun_01a_C_UAID_D843AE641AE3CE4402_1419565362,930129.0,195510.44,339836.0,,,,,,{}
SceneComponent,BP_BreakableWindow_195x105_BST_02b_C,StaticMeshActor_UAID_04D9F5F93AD5739C02_0140d04c777530a4_1644764573,-2998.074,3204.5918,11482.537,,,,,,"{""health"": ""10.0 HP""}"
SceneComponent,BP_BreakableWindow_195x105_BST_02b_C,StaticMeshActor_UAID_04D9F5F93AD5739C02_0ee8cecb8c865a57_1644764573,-679.6023,-1279.64,11348.288,,,,,,"{""health"": ""10.0 HP""}"
SceneComponent,BP_BreakableWindow_195x105_BST_02b_C,StaticMeshActor_UAID_04D9F5F93AD5739C02_20cdc68d213cf756_1644764573,-3985.8337,2108.7502,11299.847,,,,,,"{""health"": ""10.0 HP""}"
SceneComponent,BP_BreakableWindow_195x105_BST_02b_C,StaticMeshActor_UAID_04D9F5F93AD5739C02_66aa6e9c712a59a1_1644764573,684.6794,531.9561,11345.562,,,,,,"{""health"": ""10.0 HP""}"
SceneComponent,BP_BreakableWindow_195x105_BST_02b_C,StaticMeshActor_UAID_04D9F5F93AD5739C02_7a15d21b0f0b5b10_1644764573,-2853.0803,3447.688,11482.537,,,,,,"{""health"": ""10.0 HP""}"
SceneComponent,BP_BreakableWindow_195x105_BST_02b_C,StaticMeshActor_UAID_04D9F5F93AD5739C02_7b55a12144e60e41_1644764573,645.26733,1430.5125,11343.934,,,,,,"{""health"": ""10.0 HP""}"
SceneComponent,BP_BreakableWindow_195x105_BST_02b_C,StaticMeshActor_UAID_04D9F5F93AD5739C02_a0988bbba611a0f2_1644764573,-3791.3867,2302.0295,11299.847,,,,,,"{""health"": ""10.0 HP""}"
SceneComponent,BP_BreakableWindow_195x105_BST_02b_C,StaticMeshActor_UAID_04D9F5F93AD5739C02_fe0b6f5b49a2ed56_1644764573,307.50113,909.1938,11343.386,,,,,,"{""health"": ""10.0 HP""}"
SceneComponent,BP_DirigibleMover_01a_C,BP_DirigibleMover_01a_C_UAID_50EBF6D299695E4B02_1419855847,2945.4993,1957.2511,16415.904,,,,,,{}
SceneComponent,BP_DirigibleMover_01a_C,BP_DirigibleMover_01a_C_UAID_50EBF6D299695E4B02_1419858848,-55306.387,36382.64,4300.622,,,,,,{}
SceneComponent,BP_DirigibleMover_01a_C,BP_DirigibleMover_01a_C_UAID_50EBF6D299695E4B02_1419860849,-2220.7512,5851.731,8064.6494,,,,,,{}
SceneComponent,BP_Dirigible_Chateau_01a_C,BP_Dirigible_Chateau_01a_C_UAID_50EBF6D299695E4B02_1419816837,-26336.691,16693.748,-5583.0015,,,,,,{}
SceneComponent,BP_Dirigible_Chateau_01a_C,BP_Dirigible_Chateau_01a_C_UAID_50EBF6D299695E4B02_1419826838,-80716.29,43595.258,-399.6043,,,,,,{}
SceneComponent,BP_Dirigible_Chateau_01a_C,BP_Dirigible_Chateau_01a_C_UAID_50EBF6D299695E4B02_1419830839,-126016.87,-38364.508,-94.53623,,,,,,{}
SceneComponent,BP_Dirigible_Chateau_01a_C,BP_Dirigible_Chateau_01a_C_UAID_50EBF6D299695E4B02_1419833840,-26336.691,16693.748,-5583.0015,,,,,,{}
SceneComponent,BP_Dirigible_Chateau_01a_C,BP_Dirigible_Chateau_01a_C_UAID_50EBF6D299695E4B02_1419836841,13761.112,-31959.168,-847.7183,,,,,,{}
SceneComponent,BP_Dirigible_Chateau_01a_C,BP_Dirigible_Chateau_01a_C_UAID_50EBF6D299695E4B02_1419839842,-34969.918,31968.756,3622.8242,,,,,,{}
SceneComponent,BP_Dirigible_Chateau_01a_C,BP_Dirigible_Chateau_01a_C_UAID_50EBF6D299695E4B02_1419842843,-44438.32,-56112.258,23131.502,,,,,,{}
SceneComponent,BP_Dirigible_Chateau_01a_C,BP_Dirigible_Chateau_01a_C_UAID_50EBF6D299695E4B02_1419846844,-97427.86,-5643.316,9720.509,,,,,,{}
SceneComponent,BP_Dirigible_Chateau_01a_C,BP_Dirigible_Chateau_01a_C_UAID_50EBF6D299695E4B02_1419849845,25866.96,23806.14,17323.043,,,,,,{}
SceneComponent,BP_Dirigible_Chateau_01a_C,BP_Dirigible_Chateau_01a_C_UAID_50EBF6D299695E4B02_1419852846,-1940.2214,-13580.302,15338.192,,,,,,{}
SceneComponent,BP_Dirigible_Chateau_01a_C,BP_Dirigible_Chateau_01a_C_UAID_50EBF6D299695F4B02_1173423084,-5117.144,8175.072,6043.879,,,,,,{}
SceneComponent,BP_Dirigible_Chateau_01a_C,StaticMeshActor_UAID_04D9F5F93AD5CE8402_c11e2be935ce527e_1377576190,6288.6465,1835.5892,11096.497,,,,,,{}
SceneComponent,BP_Dirigible_Chateau_01a_C,StaticMeshActor_UAID_D843AE641AE3BA4402_c11e2be935ce527e_1716404661,2374.8464,2688.6914,10970.742,,,,,,{}
SceneComponent,BP_Door_Ext_Arch_01a_Blocked_C,BP_Door_1p_m_01a_C_UAID_D843AE641AE3BA4402_acd23bd0e6a677c1_1940733048,1514.0461,231.24434,14647.608,,,,,,{}
SceneComponent,BP_Door_Ext_Arch_01a_Blocked_C,BP_Door_1p_m_01a_C_UAID_D843AE641AE3BA4402_acd23bd0e6a677c1_1940737049,2760.0198,-1014.7484,14647.608,,,,,,{}
SceneComponent,BP_Door_Ext_Arch_01a_Blocked_C,BP_Door_Ext_Arch_01a_Blocked_C_UAID_D843AE641AE3BA4402_acd23bd0e6a677c1_1940967129,-2618.9038,-8943.372,10826.872,,,,,,{}
SceneComponent,BP_Door_Ext_Arch_01a_Blocked_C,BP_Door_Ext_Arch_01a_Blocked_C_UAID_D843AE641AE3BA4402_acd23bd0e6a677c1_1941448308,6255.382,-1682.6775,7671.584,,,,,,{}
SceneComponent,BP_Door_Ext_Double_01a_C,BP_Door_Ext_Double_01a_C_UAID_D843AE641AE3BA4402_acd23bd0e6a677c1_1941542338,-2628.823,-6960.274,10834.421,,,,,,{}
SceneComponent,BP_Door_Int_Double_01a_C,BP_Door_Int_Double_01a_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1798708671,-3920.0,-1300.0,11924.109,,,,,,{}
SceneComponent,BP_Door_Int_Double_01a_C,BP_Door_Int_Double_01a_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1798712672,-3610.7422,-2461.0,11924.334,,,,,,{}
SceneComponent,BP_Door_Int_Double_01a_C,BP_Door_Int_Double_01a_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1798721674,-3601.7485,764.7762,11924.334,,,,,,{}
SceneComponent,BP_Door_Large_01a_C,BP_Door_2p_01_W_C_UAID_D843AE641AE3BA4402_acd23bd0e6a677c1_1941538337,4322.1255,-947.9761,11398.34,,,,,,{}
SceneComponent,BP_EasyFog_C,BP_EasyFog_C_1,288909.25,-60787.203,32157.004,,,,,,{}
SceneComponent,BP_EasyFog_C,BP_EasyFog_C_UAID_D843AE641AE3C74402_1425428245,-328998.28,119030.82,45345.023,,,,,,{}
SceneComponent,BP_EasyFog_C,BP_EasyFog_C_UAID_D843AE641AE3CE4402_1419569364,1341598.6,275552.66,461387.44,,,,,,{}
SceneComponent,BP_EasyFog_C,BP_EasyFog_C_UAID_D843AE641AE3CE4402_1419576367,1341588.6,275542.66,461387.44,,,,,,{}
SceneComponent,BP_EasyFog_C,BP_EasyFog_C_UAID_D843AE641AE3CE4402_1713720389,2454482.8,564250.94,2360292.2,,,,,,{}
SceneComponent,BP_EasyFog_C,BP_EasyFog_C_UAID_D843AE641AE3CE4402_1987658400,-340576.6,976148.7,24915.0,,,,,,{}
SceneComponent,BP_FishBasket_01a_C,UNP_BP_FishBasket_01a_bcb2f72933d94da3_0,-2257.4165,-3957.1526,11027.105,,,,,,{}
SceneComponent,BP_FishCrate_01_c_C,UNP_BP_FishCrate_01_c1_bcb2f72933d94da3_1,-2254.714,-3848.6492,11116.8955,,,,,,{}
SceneComponent,BP_FishCrate_01_c_C,UNP_BP_FishCrate_01_c_bcb2f72933d94da3_0,-2220.9546,-3963.5007,11116.8955,,,,,,{}
SceneComponent,BP_FishCrate_02_c_C,UNP_BP_FishCrate_02_c_bcb2f72933d94da3_0,-2208.6184,-3900.2727,11116.8955,,,,,,{}
SceneComponent,BP_FishCrate_03_b_C,UNP_BP_FishCrate_03_b_bcb2f72933d94da3_0,-2090.6682,-3708.681,11063.234,,,,,,{}
SceneComponent,BP_Gate_A01_A02_C,BP_Gate_A01_A02_C_UAID_04D9F5F93AD50A5602_1749294116,1715.1162,4024.2595,10900.723,,,,,,{}
SceneComponent,BP_Gate_A02_A01_C,BP_Gate_A02_A01_C_UAID_04D9F5F93AD50A5602_2144300162,1538.5276,3882.7554,10915.062,,,,,,{}
SceneComponent,BP_Gate_A02_A03_C,BP_Gate_A02_A03_C_UAID_04D9F5F93AD50B5602_1197880339,-2532.807,-2631.613,11206.655,,,,,,{}
SceneComponent,BP_Gate_A03_A02_C,BP_Gate_A03_A02_C_UAID_04D9F5F93AD50B5602_1314220340,-2566.4756,-2949.4233,11191.005,,,,,,{}
SceneComponent,BP_Gate_A03_A04_C,BP_Gate_A03_A04_C_UAID_04D9F5F93AD50B5602_1751312342,-1211.4575,-4848.7983,11184.37,,,,,,{}
SceneComponent,BP_Gate_A04_A03_C,BP_Gate_A04_A03_C_UAID_04D9F5F93AD50B5602_1511601341,-1050.9564,-4834.4316,11227.636,,,,,,{}
SceneComponent,BP_HerbsRack_01a_C,BP_HerbsRack_01a_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1798212490,-577.3223,-962.6777,11770.0,,,,,,{}
SceneComponent,BP_HerbsRack_02a_C,BP_HerbsRack_02a_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1798209489,-771.8629,-852.07104,12070.0,,,,,,{}
SceneComponent,BP_LevelManager_C,BP_LevelManager_C_1,1280.0,11160.0,10949.127,,,,,,{}
SceneComponent,BP_MX_Chateau_C,BP_MX_Chateau_C_UAID_D843AE641AE3BA4402_2c2cf887d3b34203_1570203899,2360.0,4330.0,10897.809,,,,,,{}
SceneComponent,BP_P_CrowsCircle_01_C,BP_P_CrowsCircle_01_C_0,-10876.982,38007.066,3914.4297,,,,,,{}
SceneComponent,BP_P_CrowsCircle_01_C,BP_P_CrowsCircle_01_C_1,-14787.47,13027.818,2230.0225,,,,,,{}
SceneComponent,BP_P_CrowsCircle_01_C,BP_P_CrowsCircle_01_C_3,1023.0832,-2802.8115,18362.025,,,,,,{}
SceneComponent,BP_P_CrowsCircle_01_C,BP_P_CrowsCircle_01_C_4,2531.287,7274.765,15153.352,,,,,,{}
SceneComponent,BP_Scaffolding_SmallCrane_01_C,BP_Scaffolding_SmallCrane_01_C_UAID_D843AE641AE3BA4402_acd23bd0e6a677c1_1941439305,6951.298,-1700.7019,6616.41,,,,,,{}
SceneComponent,BP_Scaffolding_SmallCrane_01_C,BP_Scaffolding_SmallCrane_01_C_UAID_D843AE641AE3BA4402_acd23bd0e6a677c1_1941442306,5978.7466,-5895.608,9238.69,,,,,,{}
SceneComponent,BP_Sheep_01a_C,BP_Sheep_01a_C_UAID_50EBF6D29969739102_c11e2be935ce527e_1125619898,3728.0203,6724.826,10841.09,,,,,,{}
SceneComponent,BP_Sheep_01a_C,BP_Sheep_01a_C_UAID_50EBF6D29969739102_c11e2be935ce527e_1161089899,3124.478,6238.4976,10840.907,,,,,,{}
SceneComponent,BP_Sheep_01a_C,BP_Sheep_01a_C_UAID_50EBF6D29969739102_c11e2be935ce527e_1871239062,3620.0525,6715.733,10850.957,,,,,,{}
SceneComponent,BP_Sheep_01a_C,BP_Sheep_01a_C_UAID_50EBF6D299698E9102_c11e2be935ce527e_1668585644,1113.1995,6297.4253,11245.761,,,,,,{}
SceneComponent,BP_Town_01_Merged_C,BP_Town_01_C_1,-216133.67,-68830.33,-2741.292,,,,,,{}
SceneComponent,BP_Town_01_Merged_C,BP_Town_01_C_3,-318952.03,138861.06,-5473.298,,,,,,{}
SceneComponent,BP_Town_02_Merged_C,BP_Town_01_C_4,-120081.016,-404750.66,-76.433395,,,,,,{}
SceneComponent,BP_VegetablesBasket_01a_C,UNP_BP_VegetablesBasket_01a_7dc32bdef8128433_0,-3215.8887,-5343.673,11142.107,,,,,,{}
SceneComponent,BP_VegetablesBasket_01a_C,UNP_BP_VegetablesBasket_01a_8e8428bd7739a4a7_0,-2845.8022,-3979.6785,11116.674,,,,,,{}
SceneComponent,BP_VegetablesBasket_01a_C,UNP_BP_VegetablesBasket_01a_a213e7414ba3e3bb_0,-2825.7053,-3071.8975,11142.194,,,,,,{}
SceneComponent,BP_VegetablesBasket_01b_C,UNP_BP_VegetablesBasket_01b_8e8428bd7739a4a7_0,-2886.4187,-3994.8413,11117.31,,,,,,{}
SceneComponent,BP_VegetablesCrate_02a_C,UNP_BP_VegetablesCrate_02a1_7dc32bdef8128433_0,-3197.2168,-5360.416,11074.136,,,,,,{}
SceneComponent,BP_VegetablesCrate_02a_C,UNP_BP_VegetablesCrate_02a1_8e8428bd7739a4a7_1,-2830.015,-4072.857,11026.606,,,,,,{}
SceneComponent,BP_VegetablesCrate_02a_C,UNP_BP_VegetablesCrate_02a1_a213e7414ba3e3bb_0,-2809.0737,-3090.669,11074.223,,,,,,{}
SceneComponent,BP_VegetablesCrate_02a_C,UNP_BP_VegetablesCrate_02a2_8e8428bd7739a4a7_2,-2905.5308,-3949.5398,11117.412,,,,,,{}
SceneComponent,BP_VegetablesCrate_02a_C,UNP_BP_VegetablesCrate_02a_8e8428bd7739a4a7_0,-2845.895,-3704.957,11086.894,,,,,,{}
SceneComponent,BP_VegetablesCrate_02c_C,UNP_BP_VegetablesCrate_02c1_8e8428bd7739a4a7_1,-2851.795,-3694.114,11027.106,,,,,,{}
SceneComponent,BP_VegetablesCrate_02c_C,UNP_BP_VegetablesCrate_02c_8e8428bd7739a4a7_0,-3040.344,-3833.168,11027.106,,,,,,{}
SceneComponent,BP_VegetablesCrate_03a_C,UNP_BP_VegetablesCrate_03a_8e8428bd7739a4a7_0,-2848.56,-3643.995,11085.823,,,,,,{}
SceneComponent,BP_VegetablesCrate_03b_C,UNP_BP_VegetablesCrate_03b1_8e8428bd7739a4a7_1,-2855.0967,-3876.631,11115.722,,,,,,{}
SceneComponent,BP_VegetablesCrate_03b_C,UNP_BP_VegetablesCrate_03b2_8e8428bd7739a4a7_2,-3026.8684,-4102.7056,11026.484,,,,,,{}
SceneComponent,BP_VegetablesCrate_03b_C,UNP_BP_VegetablesCrate_03b_8e8428bd7739a4a7_0,-2791.8828,-3678.0593,11026.822,,,,,,{}
SceneComponent,BP_Window_195x105_BST_02c_C,BP_Window_195x105_BST_02c_C_UAID_04D9F5F93AD5DC8002_1740587431,-1747.9548,3177.0835,11178.987,,,,,,"{""health"": ""10.0 HP""}"
SceneComponent,BP_Window_195x105_BST_02c_Chateau_C,BP_Window_Large_01b_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1797189106,-6641.6255,739.5935,10344.666,,,,,,{}
SceneComponent,BP_Window_195x105_BST_02c_Chateau_C,BP_Window_Large_01b_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1797209111,-6270.063,-1826.5066,9955.877,,,,,,{}
SceneComponent,BP_Window_195x105_BST_02c_Chateau_C,BP_Window_Large_01b_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1797212112,-6266.703,-1261.0597,9961.589,,,,,,{}
SceneComponent,BP_Window_195x105_BST_02c_Chateau_C,BP_Window_Large_01b_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1797216113,-6266.703,-1261.0597,9469.169,,,,,,{}
SceneComponent,BP_Window_195x105_BST_02c_Chateau_C,BP_Window_Large_01b_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1797219114,-6271.003,-1984.754,9469.169,,,,,,{}
SceneComponent,BP_Window_195x105_BST_02c_Chateau_C,BP_Window_Large_01b_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1797222115,-6269.7163,-1768.1758,9046.628,,,,,,{}
SceneComponent,BP_Window_195x105_BST_02c_Chateau_C,BP_Window_Large_01b_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1797225116,-6265.883,-1122.9783,9046.628,,,,,,{}
SceneComponent,BP_Window_195x105_BST_02c_Chateau_C,BP_Window_Large_01b_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1797227117,-6233.9067,-489.08768,9230.925,,,,,,{}
SceneComponent,BP_Window_195x105_BST_02c_Chateau_C,BP_Window_Large_01b_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1797230118,-6233.9067,-489.08768,9986.962,,,,,,{}
SceneComponent,BP_Window_195x105_BST_02c_Chateau_C,BP_Window_Large_01b_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1797233119,-6656.088,694.99994,9837.25,,,,,,{}
SceneComponent,BP_Window_195x105_BST_02c_Chateau_C,BP_Window_Large_01b_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1797237120,-6656.088,694.99994,9245.865,,,,,,{}
SceneComponent,BP_Window_195x105_BST_02c_Chateau_C,BP_Window_Large_01b_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1797240121,-6503.3486,1347.3824,9837.25,,,,,,{}
SceneComponent,BP_Window_195x105_BST_02c_Chateau_C,BP_Window_Large_01b_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1797242122,-6503.3486,1347.3824,9245.865,,,,,,{}
SceneComponent,BP_Window_195x105_BST_02c_Chateau_C,BP_Window_Large_01b_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1797244123,-5977.332,2504.3115,8851.379,,,,,,{}
SceneComponent,BP_Window_195x105_BST_02c_Chateau_C,BP_Window_Large_01b_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1797248124,-5951.2197,2540.8486,8401.744,,,,,,{}
SceneComponent,BP_Window_195x105_BST_02c_Chateau_C,BP_Window_Large_01b_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1797251125,-5951.2197,2540.8486,7928.215,,,,,,{}
SceneComponent,BP_Window_195x105_BST_02c_Chateau_C,BP_Window_Large_01b_C_UAID_D843AE641AE3BA4402_acd23bd0e6a677c1_1941383287,6833.2485,-1408.7609,6455.3975,,,,,,{}
SceneComponent,BP_Window_195x105_BST_02c_Chateau_C,BP_Window_Large_01b_C_UAID_D843AE641AE3BA4402_acd23bd0e6a677c1_1941405292,6740.2373,-2662.5566,6095.02,,,,,,{}
