RootType,OuterType,OuterName,X,Y,Z,DisplayName,SpawnChance,ChanceType,Health,Keyed,LootSource,AISpawner,Visible
FastGeoContainer,StaticMesh,SM_StairIntegrated_03a,-7908.7407,-20283.3,-309.6143,,,,,,,,True
FastGeoContainer,StaticMesh,SM_StairIntegrated_03a,22530.326,5978.901,1833.0793,,,,,,,,True
FastGeoContainer,StaticMesh,SM_StairIntegrated_03a,24180.248,-262.30698,1829.0391,,,,,,,,True
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD4207C402_700315af74d79223_1655319628,26689.0,33918.0,4351.0,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD4207C402_700315af74d79223_1703745629,12842.0,40698.0,2519.0,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD4207C402_700315af74d79223_1732746630,31039.0,1694.0,-10.0,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD4207C402_700315af74d79223_1756961631,6736.0,2894.0,-646.0,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42D6BB02_700315af74d79223_1112040162,-30735.0,34675.0,2825.0,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42D6BB02_700315af74d79223_1257709163,-65870.0,45675.0,2825.0,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42D6BB02_700315af74d79223_1325422164,-51911.223,-28599.78,4385.0,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42D6BB02_700315af74d79223_1749705165,16894.602,-27424.096,1360.0,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42D6BB02_700315af74d79223_1850059166,1480.0,-19270.0,325.0,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42D6BB02_700315af74d79223_1961826169,-5985.0,42320.0,3800.0,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42D6BB02_700315af74d79223_2006777170,-63757.676,25665.213,785.0,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42D6BB02_700315af74d79223_2035001171,-16589.162,3700.7688,1050.0,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42D6BB02_700315af74d79223_2051252172,-11690.0,-13165.0,645.0,,,,,,,,
SceneComponent,AGV_Biomme_C,AGV_Biomme_C_UAID_107C614ADD42D6BB02_700315af74d79223_2080319173,-23900.0,14375.0,0.0,,,,,,,,
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5356F02_3df28b0128384e50_1839142457,33222.668,-9602.115,-19.317404,,,,,,,AISpawnerConfigSet'DA_AISpawner_Military',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5356F02_3df28b0128384e50_1840309458,32316.883,-10897.942,-19.317404,,,,,,,AISpawnerConfigSet'DA_AISpawner_Military',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5359B02_37bd26559c49d275_1531482675,-7595.415,-16478.11,1937.5774,,,,,,,AISpawnerConfigSet'DA_AISpawner_Military',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5545C02_c71ad3ef090f6a00_1352701803,-54731.945,37279.387,1768.7845,,,,,,,AISpawnerConfigSet'DA_AISpawner_Infirmary',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5545C02_c71ad3ef090f6a00_1352708804,-54042.285,37519.508,1768.7845,,,,,,,AISpawnerConfigSet'DA_AISpawner_Infirmary',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5545C02_c71ad3ef090f6a00_1352712805,-56155.95,36852.008,1768.7845,,,,,,,AISpawnerConfigSet'DA_AISpawner_Infirmary',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5545C02_c71ad3ef090f6a00_1352717806,-56248.94,35876.875,1768.7845,,,,,,,AISpawnerConfigSet'DA_AISpawner_Infirmary',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5545C02_c71ad3ef090f6a00_1352721807,-56967.793,36054.707,1823.5277,,,,,,,AISpawnerConfigSet'DA_AISpawner_Infirmary',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5545C02_c71ad3ef090f6a00_1352726808,-56637.152,34398.277,1797.4845,,,,,,,AISpawnerConfigSet'DA_AISpawner_Infirmary',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5545C02_c71ad3ef090f6a00_1352730809,-56589.062,33534.12,1797.4845,,,,,,,AISpawnerConfigSet'DA_AISpawner_Infirmary',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5545C02_c71ad3ef090f6a00_1352734810,-55682.977,33450.67,1797.4845,,,,,,,AISpawnerConfigSet'DA_AISpawner_Infirmary',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5545C02_c71ad3ef090f6a00_1352738811,-55165.39,32978.27,1797.4845,,,,,,,AISpawnerConfigSet'DA_AISpawner_Infirmary',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5545C02_c71ad3ef090f6a00_1352742812,-53642.44,33195.41,1797.4845,,,,,,,AISpawnerConfigSet'DA_AISpawner_Infirmary',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5545C02_c71ad3ef090f6a00_1352747813,-52513.32,33602.23,1797.4845,,,,,,,AISpawnerConfigSet'DA_AISpawner_Infirmary',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5545C02_c71ad3ef090f6a00_1352751814,-52626.27,34561.43,1797.4845,,,,,,,AISpawnerConfigSet'DA_AISpawner_Infirmary',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5545C02_c71ad3ef090f6a00_1352755815,-52870.926,35621.93,1797.4845,,,,,,,AISpawnerConfigSet'DA_AISpawner_Infirmary',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5545C02_c71ad3ef090f6a00_1352759816,-53281.812,36848.586,1797.4845,,,,,,,AISpawnerConfigSet'DA_AISpawner_Infirmary',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5545C02_c71ad3ef090f6a00_1362072817,-55825.504,34822.195,1797.4845,,,,,,,AISpawnerConfigSet'DA_AISpawner_Infirmary',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5C69602_3df28b0128384e50_1652785186,34186.992,-9941.353,-19.317402,,,,,,,AISpawnerConfigSet'DA_AISpawner_Military',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5C69602_3df28b0128384e50_1664004187,32975.82,-11776.107,-19.31739,,,,,,,AISpawnerConfigSet'DA_AISpawner_Military',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5C79602_3df28b0128384e50_2121455114,36017.69,-11282.182,-19.317394,,,,,,,AISpawnerConfigSet'DA_AISpawner_Military',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5C79602_3df28b0128384e50_2131503115,36927.28,-11912.007,-19.317394,,,,,,,AISpawnerConfigSet'DA_AISpawner_Military',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5C79602_3df28b0128384e50_2145842116,33869.7,-12299.446,-19.317406,,,,,,,AISpawnerConfigSet'DA_AISpawner_Military',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5C89602_3df28b0128384e50_1075872293,34824.89,-13002.584,-19.317406,,,,,,,AISpawnerConfigSet'DA_AISpawner_Military',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5C89602_3df28b0128384e50_1090707294,36185.773,-13944.899,-19.317406,,,,,,,AISpawnerConfigSet'DA_AISpawner_Military',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5C89602_3df28b0128384e50_1095195295,37233.438,-14670.333,-19.317406,,,,,,,AISpawnerConfigSet'DA_AISpawner_Military',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5C89602_3df28b0128384e50_1108809296,37715.08,-12457.5,-19.317394,,,,,,,AISpawnerConfigSet'DA_AISpawner_Military',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5FC6C02_4fd79de106d61a35_1818158325,-14969.953,-14210.96,1136.7335,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5FC6C02_4fd79de106d61a35_1830378326,-15705.167,-13855.264,1136.7335,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5FC6C02_4fd79de106d61a35_1847519327,-16777.082,-11605.22,1136.7335,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5FC6C02_4fd79de106d61a35_1847526328,-17582.398,-11741.322,1136.7335,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5FC6C02_4fd79de106d61a35_1879619329,-15820.126,-10358.517,1136.7335,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5FC6C02_4fd79de106d61a35_1879626330,-16625.441,-10494.619,1136.7335,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5FC6C02_4fd79de106d61a35_1890014331,-15078.365,-9985.165,1136.7335,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5FC6C02_4fd79de106d61a35_1890021332,-15732.512,-9496.136,1191.4696,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5FC6C02_4fd79de106d61a35_1921166333,-13490.488,-11134.228,1191.4696,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AIBaseCharacter_C_UAID_9C6B002263F77D3802_1533832668,-16838.705,-18642.777,1789.7645,,,,,,,AISpawnerConfigSet'DA_AISpawner_Military',
SceneComponent,BP_AISpawner_C,BP_AIBaseCharacter_C_UAID_9C6B002263F77D3802_1533833669,-14858.115,-36334.83,973.23834,,,,,,,AISpawnerConfigSet'DA_AISpawner_Peasants',
SceneComponent,BP_AISpawner_C,BP_AIBaseCharacter_C_UAID_9C6B002263F77D3802_1533836673,-19689.174,-17157.574,1773.3853,,,,,,,AISpawnerConfigSet'DA_AISpawner_Military',
SceneComponent,BP_AISpawner_C,BP_AIBaseCharacter_C_UAID_9C6B002263F77D3802_1533840677,-16806.008,-20486.775,1781.1785,,,,,,,AISpawnerConfigSet'DA_AISpawner_Military',
SceneComponent,BP_AISpawner_C,BP_AIBaseCharacter_C_UAID_9C6B002263F77D3802_1533864702,-18065.686,-18952.062,1794.6072,,,,,,,AISpawnerConfigSet'DA_AISpawner_Military',
SceneComponent,BP_AISpawner_C,BP_AIBaseCharacter_C_UAID_9C6B002263F77D3802_1533870709,-18348.762,-20472.375,1796.844,,,,,,,AISpawnerConfigSet'DA_AISpawner_Peasants',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_1bef1ea065e33b47_732,-48086.535,-7380.886,3012.3115,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_1bef1ea065e33b47_733,-49185.16,-8392.577,2982.3115,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_1bef1ea065e33b47_734,-47972.508,-9229.218,2982.3115,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_1bef1ea065e33b47_735,-49565.61,-8466.51,3001.5176,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_1c556f47455d4841_25,-3369.9639,1937.7212,-23.832224,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_1c556f47455d4841_26,-3646.3745,2883.7273,-23.138777,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_1c556f47455d4841_29,-4660.3613,4540.4946,-27.761932,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_1c556f47455d4841_30,-5129.555,3496.7249,-26.570885,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_1c556f47455d4841_32,-4172.523,3576.896,-27.219034,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_1c556f47455d4841_33,-3994.2905,2362.0437,-23.923286,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_1c556f47455d4841_35,-3432.1548,705.7653,-20.999151,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_1c556f47455d4841_36,-2755.2693,3380.2612,467.8507,,,,,,,AISpawnerConfigSet'DA_AISpawner_Civilian',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_1c556f47455d4841_37,-2570.4197,2765.63,468.1846,,,,,,,AISpawnerConfigSet'DA_AISpawner_Civilian',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_1c556f47455d4841_40,-3743.9888,4951.118,-27.191711,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_1c556f47455d4841_42,-2957.604,4301.978,-8.365538,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_1c556f47455d4841_43,-2649.6077,2369.9922,-24.209923,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_1c556f47455d4841_51,-2664.813,3345.086,-521.28766,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_2f23f936f64b5dad_1,30795.107,-10888.31,305.37836,,,,,,,AISpawnerConfigSet'DA_AISpawner_Waifs',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_2f23f936f64b5dad_2,30620.06,-11944.4,65.36619,,,,,,,AISpawnerConfigSet'DA_AISpawner_Waifs',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_2f23f936f64b5dad_3,29947.188,-12298.681,170.04759,,,,,,,AISpawnerConfigSet'DA_AISpawner_Waifs',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_643191a2278730e7_0,17182.986,-1788.4894,972.1705,,,,,,,AISpawnerConfigSet'DA_AISpawner_Miniboss',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF4F5602_c3ec7d0135d62a79_1295213927,-13959.355,13222.349,-117.60419,,,,,,,AISpawnerConfigSet'DA_AISpawner_Miniboss',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF4F5602_c3ec7d0135d62a79_1304879928,-13667.271,14128.926,-168.07675,,,,,,,AISpawnerConfigSet'DA_AISpawner_Miniboss',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF4F5602_c3ec7d0135d62a79_1311879929,-12953.458,13569.113,-160.01251,,,,,,,AISpawnerConfigSet'DA_AISpawner_Miniboss',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF5D8202_1bef1ea065e33b47_1210159073,-49608.246,-8942.851,3001.5176,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF5D8202_1bef1ea065e33b47_1215857074,-48747.074,-8821.5205,3001.5176,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF5D8202_1bef1ea065e33b47_1806059165,-48729.24,-9363.997,2982.3115,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF738B02_1977554235,10603.793,5760.2197,652.2505,,,,,,,AISpawnerConfigSet'DA_AISpawner_Peasants',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF738B02_1983882236,11149.684,4507.311,701.58594,,,,,,,AISpawnerConfigSet'DA_AISpawner_Peasants',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF738B02_1987576237,11072.26,4776.967,689.09467,,,,,,,AISpawnerConfigSet'DA_AISpawner_Peasants',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF738B02_1991492238,10640.14,4153.4917,706.8042,,,,,,,AISpawnerConfigSet'DA_AISpawner_Peasants',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF738B02_1995379239,11634.442,4878.4316,728.9786,,,,,,,AISpawnerConfigSet'DA_AISpawner_Peasants',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF738B02_2000646240,10276.134,5373.8037,639.80743,,,,,,,AISpawnerConfigSet'DA_AISpawner_Peasants',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF738B02_2005197241,10949.394,4006.1597,728.1919,,,,,,,AISpawnerConfigSet'DA_AISpawner_Peasants',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF738B02_2011679242,10060.738,3641.149,687.2962,,,,,,,AISpawnerConfigSet'DA_AISpawner_Peasants',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF738B02_2016032243,10272.913,4241.5854,668.5062,,,,,,,AISpawnerConfigSet'DA_AISpawner_Peasants',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF738B02_2023810244,10754.938,6912.599,646.7919,,,,,,,AISpawnerConfigSet'DA_AISpawner_Peasants',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF738B02_2028470245,10267.351,6402.1987,602.2707,,,,,,,AISpawnerConfigSet'DA_AISpawner_Peasants',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF738B02_2032783246,10060.411,6602.052,602.2707,,,,,,,AISpawnerConfigSet'DA_AISpawner_Peasants',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF738B02_2035469247,9934.659,6369.1343,602.2707,,,,,,,AISpawnerConfigSet'DA_AISpawner_Peasants',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF738B02_2038335248,10408.018,6695.9907,602.2707,,,,,,,AISpawnerConfigSet'DA_AISpawner_Peasants',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEFB18202_1bef1ea065e33b47_1256408505,-48164.766,-8046.835,3010.0525,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEFB18202_1bef1ea065e33b47_1280313506,-49514.492,-7283.396,2982.3115,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEFB18202_1bef1ea065e33b47_1300035507,-47100.883,-8100.5024,2982.3115,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_0468748824944C9B02_d0e23cfe7f59ca33_2006376751,-25084.549,-6032.0625,1816.6688,,,,,,,AISpawnerConfigSet'DA_AISpawner_Peasants',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_0468748824944C9B02_d0e23cfe7f59ca33_2006389784,-25099.168,-5569.171,1816.4481,,,,,,,AISpawnerConfigSet'DA_AISpawner_Peasants',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_0468748824944C9B02_e1ce29a85d20fd8c_2006376751,-13707.973,-37230.426,976.3612,,,,,,,AISpawnerConfigSet'DA_AISpawner_Peasants',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_0468748824944C9B02_e1ce29a85d20fd8c_2006389784,-14158.705,-37336.832,976.14056,,,,,,,AISpawnerConfigSet'DA_AISpawner_Peasants',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494859A02_367755be1ccb9d60_1584993272,-27270.395,-5793.6396,1803.4282,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494859A02_367755be1ccb9d60_1585040298,-25254.35,-6940.7104,1793.4241,,,,,,,AISpawnerConfigSet'DA_AISpawner_Civilian',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494859A02_367755be1ccb9d60_1585091332,-27450.861,-5217.918,1803.4282,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494859A02_367755be1ccb9d60_1585103340,-25887.324,-6953.1777,1746.0614,,,,,,,AISpawnerConfigSet'DA_AISpawner_Civilian',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494859A02_367755be1ccb9d60_1585117349,-25232.547,-11567.457,1814.634,,,,,,,AISpawnerConfigSet'DA_AISpawner_Civilian',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494859A02_367755be1ccb9d60_1585141365,-24606.621,-8530.142,1804.6892,,,,,,,AISpawnerConfigSet'DA_AISpawner_Civilian',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494859A02_367755be1ccb9d60_1585143366,-25490.578,-7947.737,1746.0614,,,,,,,AISpawnerConfigSet'DA_AISpawner_Civilian',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494859A02_367755be1ccb9d60_1585153372,-28344.879,-8775.411,1805.6642,,,,,,,AISpawnerConfigSet'DA_AISpawner_Civilian',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494859A02_367755be1ccb9d60_1585155373,-28115.836,-7361.3145,1794.8392,,,,,,,AISpawnerConfigSet'DA_AISpawner_Civilian',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494859A02_367755be1ccb9d60_1585205411,-28450.352,-12500.344,1800.4133,,,,,,,AISpawnerConfigSet'DA_AISpawner_Civilian',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494859A02_367755be1ccb9d60_1585246437,-28918.406,-10930.3,1813.6521,,,,,,,AISpawnerConfigSet'DA_AISpawner_Civilian',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494859A02_367755be1ccb9d60_1585268448,-25833.754,-5360.466,1822.6636,,,,,,,AISpawnerConfigSet'DA_AISpawner_Civilian',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494859A02_367755be1ccb9d60_1585343498,-25068.87,-9827.345,1800.241,,,,,,,AISpawnerConfigSet'DA_AISpawner_Civilian',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494859A02_367755be1ccb9d60_1585426549,-27202.594,-9703.07,1820.2604,,,,,,,AISpawnerConfigSet'DA_AISpawner_Civilian',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494859A02_367755be1ccb9d60_1585429550,-27690.225,-8423.552,1791.8981,,,,,,,AISpawnerConfigSet'DA_AISpawner_Civilian',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494859A02_367755be1ccb9d60_1585597657,-26601.94,-7121.5176,1803.4282,,,,,,,AISpawnerConfigSet'DA_AISpawner_Workers',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494859A02_367755be1ccb9d60_1585612667,-28398.955,-8943.062,2190.1938,,,,,,,AISpawnerConfigSet'DA_AISpawner_Civilian',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494859A02_367755be1ccb9d60_1585698712,-28788.201,-3949.0254,1857.8734,,,,,,,AISpawnerConfigSet'DA_AISpawner_Civilian',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494859A02_367755be1ccb9d60_1585734733,-27652.145,-13475.63,1792.1584,,,,,,,AISpawnerConfigSet'DA_AISpawner_Civilian',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494859A02_367755be1ccb9d60_1585743738,-28809.248,-7813.2275,1748.9226,,,,,,,AISpawnerConfigSet'DA_AISpawner_Civilian',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494859A02_367755be1ccb9d60_1585758747,-26506.25,-11029.614,1753.572,,,,,,,AISpawnerConfigSet'DA_AISpawner_Civilian',
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494AD8D02_c71ad3ef090f6a00_1994888630,-53369.066,34904.973,1749.2201,,,,,,,AISpawnerConfigSet'DA_AISpawner_Infirmary',
