RootType,OuterType,OuterName,X,Y,Z,DisplayName,SpawnChance,ChanceType,Health,Keyed,LootSource,AISpawner
SceneComponent,BP_A04_Physician_Hub_C,BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_c50b0d3e8b1c3360_1707567249,701.4997,-4359.632,11043.195,,,,,,,
SceneComponent,BP_DirigibleMover_01a_C,BP_DirigibleMover_01a_C_UAID_50EBF6D299695E4B02_1419855847,2945.4993,1957.2511,16415.904,,,,,,,
SceneComponent,BP_DirigibleMover_01a_C,BP_DirigibleMover_01a_C_UAID_50EBF6D299695E4B02_1419858848,-55306.387,36382.64,4300.622,,,,,,,
SceneComponent,BP_DirigibleMover_01a_C,BP_DirigibleMover_01a_C_UAID_50EBF6D299695E4B02_1419860849,-2220.7512,5851.731,8064.6494,,,,,,,
SceneComponent,BP_Dirigible_Chateau_01a_C,BP_Dirigible_Chateau_01a_C_UAID_50EBF6D299695E4B02_1419816837,-26336.691,16693.748,-5583.0015,,,,,,,
SceneComponent,BP_Dirigible_Chateau_01a_C,BP_Dirigible_Chateau_01a_C_UAID_50EBF6D299695E4B02_1419826838,-80716.29,43595.258,-399.6043,,,,,,,
SceneComponent,BP_Dirigible_Chateau_01a_C,BP_Dirigible_Chateau_01a_C_UAID_50EBF6D299695E4B02_1419830839,-126016.87,-38364.508,-94.53623,,,,,,,
SceneComponent,BP_Dirigible_Chateau_01a_C,BP_Dirigible_Chateau_01a_C_UAID_50EBF6D299695E4B02_1419833840,-26336.691,16693.748,-5583.0015,,,,,,,
SceneComponent,BP_Dirigible_Chateau_01a_C,BP_Dirigible_Chateau_01a_C_UAID_50EBF6D299695E4B02_1419836841,13761.112,-31959.168,-847.7183,,,,,,,
SceneComponent,BP_Dirigible_Chateau_01a_C,BP_Dirigible_Chateau_01a_C_UAID_50EBF6D299695E4B02_1419839842,-34969.918,31968.756,3622.8242,,,,,,,
SceneComponent,BP_Dirigible_Chateau_01a_C,BP_Dirigible_Chateau_01a_C_UAID_50EBF6D299695E4B02_1419842843,-44438.32,-56112.258,23131.502,,,,,,,
SceneComponent,BP_Dirigible_Chateau_01a_C,BP_Dirigible_Chateau_01a_C_UAID_50EBF6D299695E4B02_1419846844,-97427.86,-5643.316,9720.509,,,,,,,
SceneComponent,BP_Dirigible_Chateau_01a_C,BP_Dirigible_Chateau_01a_C_UAID_50EBF6D299695E4B02_1419849845,25866.96,23806.14,17323.043,,,,,,,
SceneComponent,BP_Dirigible_Chateau_01a_C,BP_Dirigible_Chateau_01a_C_UAID_50EBF6D299695E4B02_1419852846,-1940.2214,-13580.302,15338.192,,,,,,,
SceneComponent,BP_Dirigible_Chateau_01a_C,BP_Dirigible_Chateau_01a_C_UAID_50EBF6D299695F4B02_1173423084,-5117.144,8175.072,6043.879,,,,,,,
SceneComponent,BP_Dirigible_Chateau_01a_C,StaticMeshActor_UAID_04D9F5F93AD5CE8402_c11e2be935ce527e_1377576190,6288.6465,1835.5892,11096.497,,,,,,,
SceneComponent,BP_Dirigible_Chateau_01a_C,StaticMeshActor_UAID_D843AE641AE3BA4402_c11e2be935ce527e_1716404661,2374.8464,2688.6914,10970.742,,,,,,,
SceneComponent,BP_Gate_A01_A02_C,BP_Gate_A01_A02_C_UAID_04D9F5F93AD50A5602_1749294116,1715.1162,4024.2595,10900.723,,,,,,,
SceneComponent,BP_Gate_A02_A01_C,BP_Gate_A02_A01_C_UAID_04D9F5F93AD50A5602_2144300162,1538.5276,3882.7554,10915.062,,,,,,,
SceneComponent,BP_Gate_A02_A03_C,BP_Gate_A02_A03_C_UAID_04D9F5F93AD50B5602_1197880339,-2532.807,-2631.613,11206.655,,,,,,,
SceneComponent,BP_Gate_A03_A02_C,BP_Gate_A03_A02_C_UAID_04D9F5F93AD50B5602_1314220340,-2566.4756,-2949.4233,11191.005,,,,,,,
SceneComponent,BP_Gate_A03_A04_C,BP_Gate_A03_A04_C_UAID_04D9F5F93AD50B5602_1751312342,-1211.4575,-4848.7983,11184.37,,,,,,,
SceneComponent,BP_Gate_A04_A03_C,BP_Gate_A04_A03_C_UAID_04D9F5F93AD50B5602_1511601341,-1050.9564,-4834.4316,11227.636,,,,,,,
SceneComponent,BP_Sheep_01a_C,BP_Sheep_01a_C_UAID_50EBF6D29969739102_c11e2be935ce527e_1125619898,3728.0203,6724.826,10841.09,,,,,,,
SceneComponent,BP_Sheep_01a_C,BP_Sheep_01a_C_UAID_50EBF6D29969739102_c11e2be935ce527e_1161089899,3124.478,6238.4976,10840.907,,,,,,,
SceneComponent,BP_Sheep_01a_C,BP_Sheep_01a_C_UAID_50EBF6D29969739102_c11e2be935ce527e_1871239062,3620.0525,6715.733,10850.957,,,,,,,
SceneComponent,BP_Sheep_01a_C,BP_Sheep_01a_C_UAID_50EBF6D299698E9102_c11e2be935ce527e_1668585644,1113.1995,6297.4253,11245.761,,,,,,,
SceneComponent,Guard_01a_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_eda3b9e0eb68f723_1734862265,1469.0184,4149.052,10840.522,,,,,,,
SceneComponent,Guard_01b_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_8294ff6bc6ad18f3_1734867266,-2549.9568,-2625.9988,11034.923,,,,,,,
SceneComponent,Guard_01c_C,Guard_01c_C_UAID_04D9F5F93AD5D08402_c11e2be935ce527e_1085335821,6457.503,2869.0574,11127.6045,,,,,,,
SceneComponent,Guard_01c_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_0387d41caf2a6fb8_1734867266,-2836.042,47.84508,11033.915,,,,,,,
SceneComponent,Guard_01c_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_5695f918251288c6_1734867266,-1180.0596,1430.1389,11034.723,,,,,,,
SceneComponent,Guard_01c_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_721733d06d8d1684_1734867266,2506.5718,6416.6885,10837.976,,,,,,,
SceneComponent,Guard_01c_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_a029afbef3dc432d_1734867266,-2790.4634,-2743.802,11029.909,,,,,,,
SceneComponent,Guard_01c_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_dade0943a2e5a7c2_1734867266,-2271.7007,-6268.2524,11028.124,,,,,,,
SceneComponent,Guard_01d_C,Guard_01d_C_UAID_04D9F5F93AD5D08402_c11e2be935ce527e_1099469823,5423.687,3048.0874,11127.6045,,,,,,,
SceneComponent,Guard_01d_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_183ad2cfde8e18a5_1734867266,104.564316,738.7393,11760.767,,,,,,,
SceneComponent,Guard_01d_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_4ee8340afdd78ab5_1734867266,-945.8646,-1135.8992,11760.767,,,,,,,
SceneComponent,Guard_01d_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_703242e640124a26_1734867266,2429.3196,6581.6353,10832.041,,,,,,,
SceneComponent,Guard_01d_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_7d137f0557abe242_1734867266,-3168.1768,240.58119,11104.453,,,,,,,
SceneComponent,Guard_01d_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_b99cb96d412e3c82_1734867266,734.9086,1324.949,11760.767,,,,,,,
SceneComponent,Guard_01d_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_c355f9d0a21807b9_1734867266,-115.1282,2583.0923,11032.265,,,,,,,
SceneComponent,Guard_01d_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_ddcd97dd2f5c2eff_1734867266,-2998.831,983.06226,12353.954,,,,,,,
SceneComponent,Guard_01d_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_eba4504001228222_1734867266,-2317.2422,3518.5564,12353.954,,,,,,,
SceneComponent,Guard_01e_C,Guard_01e_C_UAID_04D9F5F93AD5D08402_c11e2be935ce527e_1091781822,6058.797,2397.0852,11242.939,,,,,,,
SceneComponent,Guard_01e_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_15bceacea609ca65_1734867266,-2853.2437,1159.4811,12353.097,,,,,,,
SceneComponent,Guard_01e_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_1e10434c96311943_1734867266,1851.1616,3754.7747,10842.457,,,,,,,
SceneComponent,Guard_01e_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_2a41313ffc24dfa7_1734867266,3433.8198,7202.6636,11615.404,,,,,,,
SceneComponent,Guard_01e_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_2bb2cd56aa410a4d_1734867266,2949.8567,6359.9487,10838.478,,,,,,,
SceneComponent,Guard_01e_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_37697417efe5b6a3_1734867266,-271.7241,-445.0106,11759.908,,,,,,,
SceneComponent,Guard_01e_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_3c266d5caca38606_1734867266,5088.3984,-532.3265,11384.585,,,,,,,
SceneComponent,Guard_01e_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_3f89860136fd6612_1734867266,3135.8706,4811.7046,10844.335,,,,,,,
SceneComponent,Guard_01e_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_87f175f26ea803c7_1734867266,332.74088,2193.174,11030.1,,,,,,,
SceneComponent,Guard_01e_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_9440f03b54ddd81c_1734867266,4404.2017,6849.132,11617.788,,,,,,,
SceneComponent,Guard_01e_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_c7d506f7c901f42a_1734867266,-1557.0846,3067.1616,12353.097,,,,,,,
SceneComponent,Guard_01e_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_e0ad59cf24ffe17a_1734867266,4555.642,-534.85236,11384.585,,,,,,,
SceneComponent,Guard_01e_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_fcbcbfdde3ed12bd_1734867266,-1896.1421,-5158.3613,11027.106,,,,,,,
SceneComponent,Guard_01f_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_1563bae360f19522_1734867266,-2799.1196,375.216,11033.494,,,,,,,
SceneComponent,Guard_01f_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_1c341c1115d9f06e_1734867266,-2316.5872,-4348.0376,11028.124,,,,,,,
SceneComponent,Guard_01f_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_a42103a0159b77ee_1734867266,-2328.66,-2718.4814,11034.923,,,,,,,
StaticMeshComponent,BP_ArtificerCrafting_A01_C,StaticMeshActor_UAID_04687488249414BE02_c55cd7d2ca76988f_1497010580,2965.6313,3512.6804,10847.798,,,,,,,
StaticMeshComponent,BP_ArtificerCrafting_C,BP_ArtificerCrafting_C_UAID_04D9F5F93AD5228602_99c5de060d023245_1494274043,746.4782,621.0281,11129.261,,,,,,,
StaticMeshComponent,BP_ConservatorRefining_Curios_C,BP_ConservatorRefining_Curios_C_UAID_04D9F5F93AD59E8702_c11e2be935ce527e_2096447901,3122.1606,3909.8032,10841.245,,,,,,,
StaticMeshComponent,BP_ConservatorRefining_Mechs_C,BP_ConservatorRefining_C_UAID_04D9F5F93AD55C8602_99c5de060d023245_1722466598,673.3601,1287.3395,11127.422,,,,,,,
StaticMeshComponent,BP_ConservatorRefining_Mechs_C,BP_ConservatorRefining_Mechs_C_UAID_04D9F5F93AD50B8702_c11e2be935ce527e_1943134051,3172.5957,3718.4807,10835.946,,,,,,,
StaticMeshComponent,BP_ConservatorRefining_Mechs_C,BP_ConservatorRefining_Mechs_C_UAID_04D9F5F93AD50C8702_99c5de060d023245_1203317242,979.6305,1007.59766,11129.157,,,,,,,
StaticMeshComponent,BP_CookCrafting01_C,BP_CookCrafting_C_UAID_0468748824940DBE02_c11e2be935ce527e_2102487463,3693.8372,5475.558,10835.962,,,,,,,
StaticMeshComponent,BP_CookCrafting02_C,BP_CookCrafting_C_UAID_04D9F5F93AD5AF5402_721ca775cb4eb9ba_1602796001,-3374.0676,2145.313,11030.968,,,,,,,
StaticMeshComponent,BP_GunsmithCrafting_C,BP_GunsmithCrafting_C_UAID_0468748824940DBE02_c11e2be935ce527e_1757010021,5088.2085,2420.8694,11114.409,,,,,,,
StaticMeshComponent,BP_GunsmithCrafting_C,BP_GunsmithCrafting_C_UAID_04D9F5F93AD5338602_99c5de060d023245_1092253046,308.6072,-407.21353,11027.668,,,,,,,
StaticMeshComponent,BP_MetallurgistCrafting_C,BP_A02_MetallurgistCrafting_C_UAID_0468748824940DBE02_c11e2be935ce527e_1749828806,4324.324,5713.5815,10875.263,,,,,,,
StaticMeshComponent,BP_MetallurgistCrafting_C,BP_MetallurgistCrafting_C_UAID_04D9F5F93AD57D8402_bd4cf950e161a127_1540819573,-2857.5579,-855.64923,11033.076,,,,,,,
StaticMeshComponent,BP_NaturalistRefining_Herbs_01_C,BP_NaturalistRefining_Herbs_01_C_UAID_0468748824940DBE02_c11e2be935ce527e_1752082850,2348.0215,5603.008,10836.681,,,,,,,
StaticMeshComponent,BP_NaturalistRefining_Herbs_02_C,BP_NaturalistRefining_Herbs_02_C_UAID_D843AE1A93E582A502_4734e3ad7ed16de1_1129683623,-2710.1829,2765.4326,11044.578,,,,,,,
StaticMeshComponent,BP_NaturalistRefining_Spice_01_C,BP_NaturalistRefining_Spice_01_C_UAID_0468748824940DBE02_c11e2be935ce527e_1751833840,2307.5515,5974.548,10840.855,,,,,,,
StaticMeshComponent,BP_NaturalistRefining_Spice_01_C,BP_NaturalistRefining_Spice_C_UAID_04D9F5F93AD5C28602_99c5de060d023245_1099316193,-2861.5513,2665.7847,11043.595,,,,,,,
StaticMeshComponent,BP_OutfitterCrafting_A01_C,BP_OutfitterCrafting_A01_C_UAID_0468748824940DBE02_c11e2be935ce527e_1759545083,6030.7954,3297.902,11124.661,,,,,,,
StaticMeshComponent,BP_OutfitterCrafting_A02_C,BP_OutfitterCrafting_A02_C_UAID_D843AE1A93E5D1D102_99c5de060d023245_1797102989,-396.69446,-1703.7778,11137.157,,,,,,,
StaticMeshComponent,BP_PhysicianCrafting_01_C,BP_PhysicianCrafting_01_C_UAID_04D9F5F93AD57D8502_c11e2be935ce527e_1555094006,1719.0679,5320.55,10842.479,,,,,,,
StaticMeshComponent,BP_PhysicianCrafting_02_C,BP_PhysicianCrafting_C_UAID_04D9F5F93AD5038102_99c5de060d023245_1907324211,-2162.663,2450.3718,11052.094,,,,,,,
StaticMeshComponent,BP_ScavengerRefining_Cloth_C,BP_ScavengerRefining_Cloth_C_UAID_04D9F5F93AD5998702_c11e2be935ce527e_2126164022,2199.3152,5680.354,10834.011,,,,,,,
StaticMeshComponent,BP_ScavengerRefining_Cloth_C,StaticMeshActor_UAID_04D9F5F93AD5728602_99c5de060d023245_1338403354,-564.7424,-1430.9918,11137.193,,,,,,,
StaticMeshComponent,BP_ScavengerRefining_Ore_C,BP_ScavengerRefining_Ore_C_UAID_0468748824940DBE02_c11e2be935ce527e_1805489222,4120.493,6444.015,10837.109,,,,,,,
StaticMeshComponent,BP_ScavengerRefining_Ore_C,BP_ScavengerRefining_Ore_C_UAID_04D9F5F93AD59A8702_8223c7b529e43635_1340895209,-1693.0106,-2288.4692,11035.081,,,,,,,
