RootType,OuterType,OuterName,X,Y,Z,DisplayName,SpawnChance,ChanceType,Health,Keyed,LootSource,AISpawner,Visible,HarvestableBy,NodeTag
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD57E8902_d2b622e41626617e_1488112744,40206.26,-17578.137,-4795.5874,,,,,,,DA_AISpawner_Peasants,,,
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD57E8902_d2b622e41626617e_1508222745,38310.188,-19277.248,-4795.5874,,,,,,,DA_AISpawner_Peasants,,,
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD57E8902_d2b622e41626617e_1508229746,39345.48,-20346.566,-4929.8857,,,,,,,DA_AISpawner_Peasants,,,
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD57E8902_d2b622e41626617e_1539181747,39694.066,-20222.889,-6021.893,,,,,,,DA_AISpawner_Miniboss,,,
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD57E8902_d2b622e41626617e_2138985076,40200.613,-17630.555,-5320.283,,,,,,,DA_AISpawner_Peasants,,,
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD57F8902_d2b622e41626617e_1078846253,39437.605,-18389.627,-5320.283,,,,,,,DA_AISpawner_Peasants,,,
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD57F8902_d2b622e41626617e_1088896254,38593.17,-19003.936,-5320.283,,,,,,,DA_AISpawner_Peasants,,,
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD57F8902_d2b622e41626617e_1149799256,37164.746,-17601.709,-5708.997,,,,,,,DA_AISpawner_Miniboss,,,
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5CB9002_289b204959a58d51_2072238947,36806.01,-19261.662,-7763.907,,,,,,,DA_AISpawner_Peasants,,,
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5FC6C02_3f0e6d0dd4e4221e_1818158325,-25593.863,13906.696,-1284.5514,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5FC6C02_3f0e6d0dd4e4221e_1830378326,-25771.756,13109.568,-1284.5514,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5FC6C02_3f0e6d0dd4e4221e_1847519327,-27716.564,11550.91,-1284.5514,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5FC6C02_3f0e6d0dd4e4221e_1847526328,-27399.674,10798.156,-1284.5514,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5FC6C02_3f0e6d0dd4e4221e_1879619329,-29149.271,12196.964,-1284.5514,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5FC6C02_3f0e6d0dd4e4221e_1879626330,-28832.38,11444.21,-1284.5514,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5FC6C02_3f0e6d0dd4e4221e_1890014331,-29682.555,12833.525,-1284.5514,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5FC6C02_3f0e6d0dd4e4221e_1890021332,-30008.8,12084.778,-1229.8153,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,AISpawner,AISpawner_UAID_04D9F5F93AD5FC6C02_3f0e6d0dd4e4221e_1921166333,-28927.621,14642.329,-1229.8153,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_129128160f00dfd4_732,39974.08,16754.404,-2116.832,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_129128160f00dfd4_733,38979.906,15639.901,-2146.832,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_129128160f00dfd4_734,40268.727,14926.15,-2146.832,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_129128160f00dfd4_735,38608.535,15529.034,-2127.626,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_4481ef720ae1ae21_25,-10853.722,-6661.433,-1427.6025,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_4481ef720ae1ae21_26,-9922.542,-6338.586,-1425.112,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_4481ef720ae1ae21_29,-8317.932,-5243.921,-1426.588,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_4481ef720ae1ae21_30,-9383.624,-4826.9097,-1427.3796,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_4481ef720ae1ae21_32,-9256.23,-5778.807,-1427.8755,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_4481ef720ae1ae21_33,-10460.788,-6016.89,-1426.8876,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_4481ef720ae1ae21_35,-12087.248,-6660.2324,-1427.1096,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_4481ef720ae1ae21_36,-9383.487,-7204.0967,-933.1802,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_4481ef720ae1ae21_37,-9988.227,-7419.1104,-934.01385,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_4481ef720ae1ae21_40,-7862.5024,-6138.8696,-1425.2378,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_4481ef720ae1ae21_42,-8472.0,-6956.3906,-1407.6447,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_4481ef720ae1ae21_43,-10386.361,-7359.5347,-1427.159,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_4481ef720ae1ae21_51,-9412.2705,-7296.0884,-1922.3837,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_68479541b25a7529_13,25330.12,44391.496,-2057.8337,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_68479541b25a7529_14,25508.52,44289.35,-1733.5836,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_68479541b25a7529_15,25835.646,44626.215,-1734.6368,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_68479541b25a7529_17,25910.953,45023.168,-2584.6873,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_68479541b25a7529_21,26242.816,46101.883,-2047.847,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_68479541b25a7529_22,24647.188,45790.746,-2092.4263,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_68479541b25a7529_24,25188.229,45847.547,-2085.9888,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_68479541b25a7529_25,25523.008,47028.977,-2066.5286,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_68479541b25a7529_26,26035.717,45008.996,-2059.3186,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_68479541b25a7529_28,25395.928,46803.598,-2058.3508,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF0A8702_40332391da5e1e80_1448844174,-2668.6333,15233.571,-1944.3275,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF0A8702_40332391da5e1e80_1470037175,-3491.9773,17812.088,-1929.2257,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF0A8702_40332391da5e1e80_1481254176,-2910.1582,15562.891,-1943.484,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF5D8202_129128160f00dfd4_1210159073,38612.793,15050.808,-2127.626,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF5D8202_129128160f00dfd4_1215857074,39457.93,15255.964,-2127.626,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEF5D8202_129128160f00dfd4_1806059165,39528.85,14717.848,-2146.832,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEFB18202_129128160f00dfd4_1256408505,39961.5,16083.995,-2119.0908,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEFB18202_129128160f00dfd4_1280313506,38543.44,16711.46,-2146.832,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_00FF8EFC2BEFB18202_129128160f00dfd4_1300035507,41025.52,16134.865,-2146.832,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04687488249456B902_40332391da5e1e80_1294098341,-7520.545,14394.077,-1922.4373,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04687488249456B902_40332391da5e1e80_1297830133,-7727.519,12405.307,-1925.6902,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04687488249456B902_40332391da5e1e80_1301233735,-7401.054,10992.213,-1925.6902,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494829A02_68e0512c24d92e8f_1230395467,11637.8955,18991.402,-2032.1318,,,,,,,DA_AISpawner_Peasants,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494829A02_68e0512c24d92e8f_1230430487,12672.275,19258.79,-1975.3903,,,,,,,DA_AISpawner_Peasants,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494829A02_68e0512c24d92e8f_1230450501,12826.125,19172.992,-1590.8606,,,,,,,DA_AISpawner_Peasants,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_046874882494FE9802_e515a311258b40d3_1767239540,-10008.989,43286.758,-176.88431,,,,,,,DA_AISpawner_MilitaryInfirmary,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD5023602_32f0a05e6358b9c5_1798496921,38288.117,-8960.481,-2898.1562,,,,,,,DA_AISpawner_Peasants,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD5023602_32f0a05e6358b9c5_1800273922,37269.883,-8635.943,-2898.1562,,,,,,,DA_AISpawner_Peasants,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD50F4402_b672bb6c668a37ab_1441153555,-17690.852,42086.125,555.1571,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD50F4402_b672bb6c668a37ab_1447596556,-18104.203,43149.957,415.61298,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD50F4402_b672bb6c668a37ab_1494029557,-17394.637,41156.63,873.5408,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD50F6B02_b672bb6c668a37ab_2019685814,-16358.716,40717.71,651.77734,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD50F6B02_b672bb6c668a37ab_2037269815,-19474.662,42426.76,483.4153,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD50F6B02_b672bb6c668a37ab_2046458816,-20011.717,43674.418,412.105,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD5106B02_b672bb6c668a37ab_1369076710,-16623.035,41355.836,651.77734,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD5106B02_b672bb6c668a37ab_1387361711,-19512.354,43881.26,412.105,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD5106B02_b672bb6c668a37ab_1398166712,-16581.584,42920.996,309.883,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD5106B02_b672bb6c668a37ab_1407030713,-15036.962,40983.094,328.9413,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD51D9002_d2b622e41626617e_1762753049,45879.28,-15823.369,-6224.519,,,,,,,DA_AISpawner_Miniboss,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD5225502_68e0512c24d92e8f_1549475115,9957.989,20895.17,-1999.0557,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD5225502_68e0512c24d92e8f_1556682116,9358.161,20830.703,-1999.0557,,,,,,,DA_AISpawner_Workers,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD5225502_68e0512c24d92e8f_1569099117,11330.222,19759.672,-1991.545,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD5225502_68e0512c24d92e8f_1578692118,12455.151,19969.494,-1991.545,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD5225502_68e0512c24d92e8f_1587129119,13805.294,20197.68,-1991.545,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD5225502_68e0512c24d92e8f_1593964120,14673.557,18275.123,-1991.545,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD5225502_68e0512c24d92e8f_1602031121,15242.341,20621.363,-1991.545,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD5225502_68e0512c24d92e8f_1609576122,16018.723,21765.402,-1991.545,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD5225502_68e0512c24d92e8f_1616147123,16304.798,18427.334,-1991.545,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD5225502_68e0512c24d92e8f_1618374124,17417.266,19019.559,-1991.545,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD5225502_68e0512c24d92e8f_1631147125,14344.146,22265.98,-1991.545,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD52C4702_68e0512c24d92e8f_1640377583,13162.287,22972.814,-1966.5704,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD52C4702_68e0512c24d92e8f_1646445584,11476.922,22648.184,-1980.1182,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD52C4702_68e0512c24d92e8f_1652724585,9813.917,22388.762,-1941.547,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD52C4702_68e0512c24d92e8f_1658161586,7660.279,20086.469,-1905.9045,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD53B3102_32f0a05e6358b9c5_1815765838,38552.95,-7573.406,-2872.388,,,,,,,DA_AISpawner_Peasants,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD53B3102_32f0a05e6358b9c5_1819376839,37516.543,-7426.065,-2875.1528,,,,,,,DA_AISpawner_Peasants,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD53B3102_c6283cd34eb3a293_1815765838,50281.77,-18784.209,-6363.9985,,,,,,,DA_AISpawner_Peasants,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD53B3102_c6283cd34eb3a293_1819376839,50061.723,-18364.076,-6362.7827,,,,,,,DA_AISpawner_Peasants,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD5654A02_68e0512c24d92e8f_1111118390,12418.368,22219.717,-1999.0557,,,,,,,DA_AISpawner_Civilian,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD565BD02_e515a311258b40d3_1799276614,-9349.304,42594.258,-176.88431,,,,,,,DA_AISpawner_MilitaryInfirmary,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD565BD02_e515a311258b40d3_1806572625,-11472.381,40856.055,-176.88431,,,,,,,DA_AISpawner_MilitaryInfirmary,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD565BD02_e515a311258b40d3_1811578636,-12028.33,38907.45,-176.88431,,,,,,,DA_AISpawner_MilitaryInfirmary,,,
SceneComponent,BP_AISpawner_C,BP_AISpawner_C_UAID_04D9F5F93AD565BD02_e515a311258b40d3_1818932647,-10021.504,39150.324,-176.88431,,,,,,,DA_AISpawner_MilitaryInfirmary,,,
